Comment,Designator,Footprint,LCSC
"C_Small","C3,C4,C5,C6,C7,C8,C10,C11,C12","Capacitor_SMD:C_0402_1005Metric","C167339"
"Ferrite_Bead","FB1,FB2","Fuse:Fuse_0805_2012Metric","C16903"
"USB_C_Receptacle_USB2.0","J1,J2,J4,J7","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2760486"
"Conn_01x10_Female","J3,J5","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"Conn_01x17_Female","J6","katamura1:LCDmodule_aqm1248a",""
"10K","R1,R4","Resistor_SMD:R_0402_1005Metric","C25744"
"R","R2,R3,R6,R7,R8,R9,R12,R13","Resistor_SMD:R_0402_1005Metric","C25905"
"22R","R5,R10,R11,R14","Resistor_SMD:R_0402_1005Metric","C25092"
"SW_DIP_x01","SW1,SW2,SW3,SW4","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
