Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"R24","R_Trim","可変抵抗(小)",-17.780000,-11.525000,0.000000,top
"R25","R_Small","R_0603_1608Metric",30.353000,-11.684000,-45.000000,top
"R26","R_Small","R_0603_1608Metric",24.257000,-5.334000,135.000000,top
"R27","R_Small","R_0603_1608Metric",31.369000,-10.668000,-45.000000,top
"R28","100","R_0402_1005Metric",-30.988000,27.686000,90.000000,top
"R29","100","R_0402_1005Metric",-30.988000,20.066000,90.000000,top
"R30","1k","R_0402_1005Metric",40.513000,-13.716000,90.000000,top
"R31","10k","R_0402_1005Metric",-30.988000,25.654000,-90.000000,top
"R32","10k","R_0402_1005Metric",-30.988000,18.034000,-90.000000,top
"R33","1k","R_0402_1005Metric",38.481000,-13.716000,90.000000,top
"R34","R_Trim","可変抵抗(小)",17.780000,-11.525000,0.000000,top
"R35","1k","R_0402_1005Metric",36.576000,-13.716000,90.000000,top
"R36","1k","R_0402_1005Metric",42.545000,-13.716000,90.000000,top
"SW1","SW_MEC_5G","SW_PUSH_6mm",-3.250000,-37.755000,0.000000,top
"SW2","SW_MEC_5G","SW_PUSH_6mm",6.275000,-37.755000,0.000000,top
"SW4","SW_DIP_x01","SW_PUSH_6mm_H5mm",15.800000,-37.755000,0.000000,top
"SW5","SW_DIP_x01","SW_PUSH_6mm_H5mm",-22.300000,-37.755000,0.000000,top
"SW6","SW_DIP_x01","SW_PUSH_6mm_H5mm",-12.775000,-37.755000,0.000000,top
"U1","ATmega2560-16AU","TQFP-100_14x14mm_P0.5mm",36.830000,0.000000,-135.000000,top
"U10","ATmega16U2-MU","QFN-32-1EP_5x5mm_P0.5mm_EP3.1x3.1mm",29.497680,15.206320,135.000000,top
"U20","MPU-6050","InvenSense_QFN-24_4x4mm_P0.5mm",27.305000,-8.890000,-135.000000,top
"Y1","Crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",42.672000,11.938000,135.000000,top
"Y2","Crystal","Crystal_SMD_3225-4Pin_3.2x2.5mm",23.749000,9.779000,45.000000,top
