Comment,Designator,Footprint,LCSC
"C","C1,C2,C9,C13","Capacitor_SMD:C_0402_1005Metric","C1524"
"C_Small","C3,C4,C5,C6,C7,C8,C10,C11,C12","Capacitor_SMD:C_0402_1005Metric","C167339"
"USB_C_Receptacle_USB2.0","J1,J4,J7,J10","Connector_USB:USB_C_Receptacle_XKB_U262-16XN-4BVC11","C2760486"
"Conn_01x06_Female","J2,J9","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical",""
"Conn_01x10_Female","J3,J5,J8","Connector_PinHeader_2.54mm:PinHeader_1x10_P2.54mm_Vertical",""
"Conn_01x17_Female","J6","katamura1:LCDmodule_aqm1248a",""
"10K","R1,R4,R5,R8,R9","Resistor_SMD:R_0402_1005Metric","C25744"
"R","R2,R3,R6,R7,R10,R11,R12,R13","Resistor_SMD:R_0402_1005Metric","C25905"
"SW_DIP_x01","SW1,SW2,SW3,SW4","Button_Switch_THT:SW_PUSH_6mm_H5mm",""
